category,reflex_fonts,reflex_styles,reflex_palette_hues,note,reach_for
Developer tools,JetBrains Mono;IBM Plex Mono;Geist Mono,dark-mode-native terminal;mono-everywhere;green-on-black,terminal-green #22c55e;violet #8b5cf6,"Mono-everywhere on near-black with a violet accent is the post-Linear devtool reflex. Real working code earns trust; reserve mono for code, and source the accent from the tool's domain.","Berkeley Mono for code only, ABC Diatype for prose;real working code early with mono reserved strictly for code, a defined light surface allowed;source the accent from the tool's domain (a diff's add/remove, a log's level colors), not the post-Linear violet-on-near-black"
AI product,Space Grotesk;Geist;General Sans,soft-gradient-mesh;iridescent-on-dark;glow-orb hero,electric-indigo #6366f1;cyan #06b6d4,"Iridescent mesh + glowing orb is THE generative-AI reflex of 2024-2026; it screams ""another AI wrapper."" Demonstrate the capability concretely; let a real artifact, not a gradient blob, be the hero.","ABC Diatype, GT America for headings;a concrete real artifact the model produced as the hero — the actual output, not an orb, accuracy and data handling shown plainly;take color from the artifact's own domain, never iridescent mesh"
Cybersecurity,Rajdhani;Chakra Petch;Share Tech Mono,dark-authoritative HUD;red-alert accent;grid/scanline texture,alert-red #ef4444;cyber-blue #0ea5e9,Dark HUD with red alerts and scanlines is fear-theatre cosplay. Concrete coverage and outcomes convey control better than a threat-grid backdrop.,"Aktiv Grotesk, Berkeley Mono for telemetry;concrete coverage and outcomes laid out calmly, a real detection timeline as the focal artifact, no scanlines;ground in the actual product surface (a console's measured greens/greys) not fear-theatre red-alert-on-black"
Agency,Clash Display;Syne;Anton,editorial-maximalism;huge-type marquee;mono labels,off-black #111111;acid-lime #bef264,"Oversized Clash/Syne with tiny mono labels is the agency-template reflex — every studio site by 2026. The portfolio is the proof; the typographic shout should be specific to the work, not a default acid accent.","Romie or GT Sectra Display, ABC Diatype for labels;the portfolio itself is the proof — let one real piece dominate, typographic scale specific to that work;pull the palette from the featured project, not a default acid-lime-on-black studio costume"
Portfolio,Syne;Instrument Serif;Cabinet Grotesk,minimal-expressive big-type;italic-serif headline;ruled separators,off-black #1a1a1a;paper #faf9f6,"Big-italic-serif headline + ruled lines is the saturated ""tasteful portfolio"" look. Make the work unmissable and let personality show through the actual pieces, not a borrowed editorial frame.","Reckless or Cardinal Fruit for one expressive headline, ABC Diatype body;the work unmissable at full scale with personality shown through the actual pieces, ruled frames dropped;source color from the work shown — never a borrowed off-black-on-paper editorial frame"
Restaurant,Cormorant;Playfair Display;Libre Baskerville,editorial-elegance serif;full-bleed food hero;script accent,terracotta #c2410c;cream #f5f1ea,"A high-contrast serif over a dim food hero on cream is the restaurant-template reflex. Sell the specific atmosphere with real imagery; let the cuisine, not Playfair, set the palette.","GT Sectra Display, Untitled Sans for UI;the specific room and plating in real photography as the hero, atmosphere over template serif drama;let the cuisine and the actual dining room set the palette — the broth's amber, the tile's color — not Playfair-on-cream"
Hotel,Cormorant Garamond;Tenor Sans;Marcellus,understated-premium serif;full-bleed escape hero;gold hairline,muted-navy #1e3a5f;sand #d6c7a1,"Thin serif + sand/navy over a sunset hero is the boutique-hotel reflex. Evoke a specific place; let the architecture and light, not a sand palette default, carry premium.","Canela Deck, Söhne for wayfinding;a real sense of place — the building's light and architecture as the immersive hero, slow pacing;take the palette from the actual location's light and material (volcanic black sand, alpine snow-blue), not template sand-and-navy"
Real estate,Montserrat;Poppins;Jost,aspirational-clean geometric;search-first hero;teal-trust accent,teal #14b8a6;slate #475569,"Geometric sans + teal ""trust"" accent is the listings-portal reflex. Property imagery and fast search differentiate; source any accent from the locale, not a default teal.","GT Sectra for headings, Hanken Grotesk for listings;property imagery and instant search as the focal pair, fast scanning of real homes;source any accent from the locale (a coastal town's water, a city's brick), not a generic teal trust-cue"
Legal,Merriweather;PT Serif;Lora,conservative-authority serif;deep-navy gravitas;gold seal accent,navy #1e3a5f;burgundy #7f1d1d,"Navy/burgundy with a transitional serif is the law-firm reflex — gravitas by template. Credibility and clarity outweigh flourish; let specifics of the practice show, not the default seal.","Lyon Text or Tiempos, National 2 for UI;gravitas from clarity and a real practice-specifics artifact (a notable matter, a clear fee structure), flourish removed;ground the palette in the firm's actual identity, not template navy-burgundy-and-seal gravitas-by-default"
Nonprofit,Poppins;Nunito Sans;Lora,hopeful-humanist warm;photo-led story grid;warm-coral accent,warm-coral #f97362;leaf-green #4ade80,"Coral + green with smiling stock photos is the charity-template reflex. Real stories and concrete impact connect; let the cause, not a default hopeful coral, set the palette.","Newsreader for story headlines, Hanken Grotesk body;real photographed stories and a concrete, audited impact figure as the focal moment, transparent giving path;let the cause and its real photography set color — the field's green, the water's blue — not default hopeful coral"
Gaming,Orbitron;Rajdhani;Audiowide,immersive-bold neon;cinematic-dark trailer hero;glow accents,magenta #d946ef;cyan #22d3ee,"Magenta/cyan neon on black is the esports-template reflex. The world and spectacle sell; pull the palette from the game's actual art direction, not a default neon duo.","Monument Grotesk, a custom display cut for the title only;the game's own world and a real trailer frame as the immersive hero, spectacle from the art direction;pull the palette straight from the game's actual art direction, never a default magenta-cyan esports neon"
Music,Anton;Druk-style;Monument Extended,expressive-atmospheric big-type;dark-immersive;grain texture,off-black #0a0a0a;hot-pink #ec4899,"Massive condensed type on black with grain is the artist-page reflex. Match the mood to the actual sound; let the release art, not a default hot-pink, lead.","Druk or a bespoke title cut, ABC Diatype for credits;the release art leads and the type mood matches the actual sound, grain dropped for real texture from the cover;take color from the release artwork itself, not a default hot-pink-on-black artist-page reflex"
News/editorial,Tiempos-style;Source Serif 4;Lora,editorial-classic serif;dense-hierarchy grid;red-masthead accent,masthead-red #dc2626;ink #1a1a1a,"Transitional serif + red masthead is the news-template reflex. Scannable hierarchy and reading comfort matter most; let the publication's voice, not a default red, differentiate.","Lyon Text body, Canela for display heads;dense scannable hierarchy and reading comfort as the real job, the masthead specific to the publication's voice;source the accent from the title's own identity, not a reflex masthead-red"
Docs,IBM Plex Sans;Inter;Geist,functional-clarity sans;sidebar-nav layout;blue-link accent,docs-blue #2563eb;slate #475569,Inter + blue links + left sidebar is the docs-template reflex (every Docusaurus/Mintlify site). Fast retrieval is the job; a distinctive but legible face and a sourced accent beat the default blue.,"ABC Diatype for prose, Berkeley Mono for code;fast retrieval first — strong search and a legible distinctive face, code blocks that read clean;source the link accent from the parent product's brand, not the Docusaurus-default blue"
Analytics dashboard,Inter;Geist;IBM Plex Sans,data-forward dark;KPI-card grid;categorical-rainbow charts,dashboard-blue #3b82f6;violet #8b5cf6,"Inter on dark with a rainbow categorical palette is the dashboard reflex; rainbow charts hurt legibility. Source a restrained categorical scale from the data's meaning, not a default spectrum.","ABC Diatype, IBM Plex Mono for figures;a restrained, meaning-mapped categorical scale and dense legible KPIs, one focal chart that actually reads;derive the categorical scale from the data's own meaning (status, magnitude) not a rainbow spectrum"
Logistics,Inter;Barlow;IBM Plex Sans,operational-clean;map/tracking hero;safety-orange accent,logistics-blue #0284c7;safety-orange #f97316,"Blue + safety-orange over a route map is the logistics-template reflex. Reliability and visible status reassure; source the accent from the network, not a default orange.","Basis Grotesque, Berkeley Mono for tracking codes;reliability shown through a real live-status artifact (a route, an ETA) as the focal moment, operational calm;source the accent from the network itself (a carrier's livery, a port color), not default safety-orange-on-blue"
Insurance,Mulish;Source Sans 3;Lora,reassuring-trustworthy;friendly-approachable;calm-blue accent,trust-blue #2563eb;teal #14b8a6,"Friendly sans + calm blue is the insurance-template reflex that reads interchangeable. Make complex coverage feel simple and honest; let the specific protection, not a default trust-blue, lead.","Tiempos Text, Hanken Grotesk for UI;complex coverage made genuinely simple and honest, a clear real quote path as the focal action;ground the palette in the specific protection offered (a home's roofline, a car's paint), not a generic calm trust-blue"
Government,Public Sans;Source Sans 3;Inter,accessible-plain;structured-clarity;flag-blue accent,gov-blue #1d4ed8;red #dc2626,"Public Sans + flag-blue is the gov-template default (USWDS-adjacent). Accessibility and findability are the job; the default is acceptable for trust but differentiate through task clarity, not decoration.","Public Sans is acceptable but pair it with Lyon Text for headings;task clarity and findability as the differentiator, plain-language structured forms;keep color functional and specific to the service, differentiate through task flow not a default flag-blue decoration"
Wellness,Cormorant;Quicksand;Tenor Sans,serene-natural;earthy-warm minimal;sage gradient,sage #84a98c;sand #d6c7a1,"Sage + sand with airy serif is the spa-template reflex. Cultivate a specific calm; let the actual practice and place, not a default sage wash, set the palette.","GT Sectra accents, Söhne body;a specific cultivated calm — the real space and practice photographed, breathing room over airy-serif cliché;take the palette from the actual place and practice (a hammam's stone, a forest's moss), not a default sage-and-sand wash"
Web3,Space Grotesk;Clash Display;Orbitron,futuristic-gradient;neon-on-dark;glassmorphic cards,electric-purple #a855f7;cyan #06b6d4,"Purple/cyan gradients with glass cards is the web3-template reflex amid hype fatigue. Clear utility and transparency counter it; source the palette from the protocol's purpose, not a default neon mesh.","ABC Diatype, GT America Mono for addresses;clear utility and transparency shown with real protocol mechanics as the focal artifact, glass cards dropped;source color from the protocol's purpose or its own mark, not a default purple-cyan glassmorphic mesh"
Enterprise B2B,Inter;IBM Plex Sans;Source Sans 3,corporate-confident;calm-precision;logo-wall hero;navy-trust accent,corporate-navy #1e3a5f;slate-blue #334e68,"Inter + navy + a logo wall is the enterprise-template reflex — safe and forgettable. Speak to ROI and proof; differentiate through the specific outcome, not a default corporate navy.","Neue Haas Grotesk, Lyon Text for executive headings;a specific quantified outcome and real proof as the hero, the logo wall replaced by a concrete case artifact;differentiate through the outcome's own palette (the customer's industry color), not default corporate-navy"
Startup MVP,Geist;Space Grotesk;General Sans,fresh-minimal;single-CTA hero;indigo-pop accent,indigo #6366f1;lime #84cc16,"Geist + indigo + a single big CTA is the Y-Combinator-template reflex. Communicate one clear idea fast; let the actual product, not a default indigo, carry the spark.","ABC Diatype, Reckless for one display line;one clear idea fast with the actual product carrying the spark, a single honest CTA;let the product's real concept set the accent, not a default YC indigo-and-lime pop"
Podcast,Anton;Archivo;Space Grotesk,warm-conversational big-type;player-first hero;duotone art,warm-orange #f97316;deep-purple #6d28d9,"Bold type + duotone cover art is the podcast-template reflex. Make the latest episode instantly playable; pull color from the show's actual identity, not a default duotone.","Druk for the title, Untitled Sans for episode lists;the latest episode instantly playable as the focal action, cover art that is the show's real identity;pull color from the show's actual artwork, not a default duotone podcast-template treatment"
Food delivery,Poppins;Baloo 2;DM Sans,appetizing-energetic;bright rounded;food-coral accent,food-red #ef4444;mango #fb923c,"Red/mango rounded everything is the delivery-app reflex (every DoorDash clone). Crave-worthy imagery and speed sell; source warmth from the actual cuisines, not a default food-red.","Hanken Grotesk, GT Sectra for the wordmark;crave-worthy real food photography and a one-tap path as the focal pair, rounded-everything dropped;source warmth from the actual cuisines shown (a curry's turmeric, a ramen's broth), not a default food-red-and-mango"
Dating,Poppins;Quicksand;Nunito,warm-playful;soft-gradient mesh;rounded humanist,romance-pink #ec4899;coral #fb7185,"Pink/coral gradient with rounded everything is the dating-app reflex. Optimism and visible safety differentiate; let the specific community, not a default pink, lead.","Reckless for an expressive headline, Söhne body;optimism and visibly-central safety as the focal frame, the specific community shown honestly;ground the palette in the real community served (a queer-joy spectrum, a faith community's hue), not a default romance-pink gradient"
Productivity,Inter;Geist;Plus Jakarta Sans,clean-focused;calm-precision;single-accent restraint,focus-blue #3b82f6;indigo #6366f1,"Inter + one blue accent is the productivity-app reflex (post-Linear/Notion). Show removed friction; source the accent from the workflow's domain, not a default focus-blue.","ABC Diatype, IBM Plex Mono for shortcuts;removed friction shown through a real workflow artifact (a before/after of the daily task), calm precision;source the single accent from the workflow's own domain (a writer's draft-amber, a coder's syntax), not a default focus-blue"
Email,Inter;Geist;IBM Plex Sans,efficient-minimal;inbox-preview hero;clean-blue accent,email-blue #2563eb;slate #475569,"Inter + clean blue + an inbox screenshot is the email-client reflex. Speed and privacy are the pitch; differentiate through the specific habit it improves, not a default blue.","Diatype, Berkeley Mono for addresses;speed and privacy as the pitch with a real inbox interaction as the focal moment, the specific habit it improves named;take the accent from the specific habit improved (a triage flow, a focus state), not a default email-client blue"
CRM,Inter;IBM Plex Sans;Source Sans 3,structured-professional;pipeline-board hero;corporate-blue accent,crm-blue #2563eb;slate #475569,"Inter + a pipeline screenshot + corporate blue is the CRM-template reflex. Prove pipeline clarity and fit; source any accent from the sales motion, not a default blue.","Hanken Grotesk, IBM Plex Mono for deal figures;real pipeline clarity and a fit-to-stack proof as the focal artifact, the screenshot replaced with a working board;source any accent from the sales motion (a stage gradient that means something), not a default corporate-blue"
HR,Mulish;Nunito Sans;DM Sans,friendly-professional;soft-humanist;warm-teal accent,hr-teal #14b8a6;warm-coral #fb7185,"Friendly sans + teal with people photos is the HR-template reflex. Balance warmth and compliance rigor; let the actual culture, not a default teal, set the tone.","Tiempos Text for warmth, Söhne for UI;warmth and compliance rigor balanced through a real culture artifact plus a clear audit trail;let the actual company culture set the tone (the brand's real warm hue), not a default HR teal-and-coral with stock smiling photos"
Marketplace,DM Sans;Poppins;Plus Jakarta Sans,vibrant-trustworthy;dual-value hero;trust-green accent,marketplace-green #22c55e;coral #fb7185,"Green ""trust"" + dual-sided hero is the marketplace-template reflex. Serve both sides and foreground real trust mechanisms; source color from the goods traded, not a default green.","Hanken Grotesk, GT Sectra for the wordmark;both sides served clearly with real trust mechanisms foregrounded, the goods traded as the visual lead;source color from the goods actually traded (vintage-furniture wood, handmade-craft clay), not a default trust-green"
Subscription box,Fraunces;DM Serif Display;Cormorant,playful-premium;unboxing hero;pastel-confetti accent,blush #fbcfe8;sage #84a98c,"Fraunces + blush/sage unboxing shots is the subscription-box reflex. Sell anticipation and clear recurring value; let the actual curation, not a default blush, lead.","GT Sectra Display, Untitled Sans body;anticipation and clear recurring value with a real curation reveal as the focal moment, confetti dropped;let the actual curation set the palette (a coffee box's roast browns, a plant box's greens), not a default blush-and-sage"
Automotive,Eurostile-style;Rajdhani;Montserrat,sleek-dynamic;cinematic-dark configurator;metallic accent,metallic-silver #94a3b8;electric-blue #3b82f6,"Cinematic dark + metallic silver is the auto-template reflex. Let the vehicle command the screen; source any accent from the model's actual finish, not a default silver.","Monument Grotesk, ABC Diatype for specs;the vehicle commanding the screen in real cinematic imagery, configurator as a genuine interaction;source any accent from the model's actual finish and trim, not a default metallic-silver-and-electric-blue"
Dental clinic,Nunito;Quicksand;Poppins,soft-sky-blue calm;rounded-everything tooth icon;stock smiling family,sky-blue #38bdf8;mint #6ee7b7,"Sky-blue + a rounded tooth icon + a stock smiling family is the dental-template reflex, identical across every practice. Bright honest cleanliness and real staff reduce anxiety, not a pastel wash.","Hanken Grotesk, Newsreader for an accent serif;real photos of THIS office and team plus an unmissable new-patient/insurance answer, not a tooth-clipart hero;pull color from the actual clinical teal of the practice's own space, not a default sky-blue-and-mint"
Veterinary clinic,Baloo 2;Nunito;Comfortaa,friendly-rounded;cartoon paw-print;teal-and-orange playful,paw-teal #2dd4bf;puppy-orange #fb923c,Rounded type with a cartoon paw-print in teal-and-orange is the vet-template reflex. Pets are family — real animal photography and emergency clarity warm more than a paw motif.,"Untitled Sans, Tiempos Text for warmth;real photos of actual patients and the vets, with emergency hours and what-to-expect surfaced, no cartoon paw;ground the palette in the practice's own warmth (a forest green, a clay) not the reflex paw-teal-and-puppy-orange"
Dermatology/medspa,Cormorant;Tenor Sans;Marcellus,airy luxury-spa serif;blush-and-gold;soft-focus model skin,spa-blush #f5d0c5;rose-gold #d6a48a,"Airy serif with blush-and-gold and a soft-focus model is the medspa reflex that hides the medicine. Real consented before/after and provider credentials sell results, not spa staging.","GT Sectra Display, Söhne for clinical copy;real (consented) before/after and named provider qualifications as the focal proof, results over soft-focus staging;take the palette from the clinic's actual material (a warm mauve treatment room) not template blush-and-rose-gold"
Physical therapy,Montserrat;Oswald;Barlow,clinic-blue calm;generic anatomy diagram;stock therapist hands,pt-blue #1f5673;recovery-green #5fb36a,"Clinic-blue with a generic anatomy diagram and stock therapist hands is the PT reflex. Movement and a believable recovery timeline differentiate, not a stock skeleton.","Hanken Grotesk, GT Sectra for headings;real motion and recovery-progress imagery with specific injury paths and a return-to-activity timeline, no stock anatomy chart;source energy from the actual discipline (a runner's track-red, a pool's blue) not a default clinic-blue-and-green"
Pharmacy,Mulish;Source Sans 3;DM Sans,retail-green cross;rounded pill-bottle icon;CVS-clone clutter,rx-green #0b6e4f;sky #56a0e0,"A green cross with a rounded pill-bottle icon and chain-pharmacy clutter is the reflex. The unmissable refill/transfer action and a real pharmacist reassure, not retail noise.","Hanken Grotesk, Lyon Text for trust copy;the refill and transfer actions as the unmissable hero with a real pharmacist shown, retail clutter removed;keep color functional to the service (a calm apothecary green that is theirs) not a generic rx-green-and-sky"
Telemedicine,Poppins;DM Sans;Mulish,calm-blue friendly;laptop-with-doctor stock;rounded chat bubble,tele-blue #2a5ca8;teal #39c2b8,"Calm blue + a stock laptop-doctor + a rounded chat bubble is the telehealth reflex. The real 3-step path to a clinician and licensing clarity overcome remote-care doubt, not a chat-bubble motif.","Untitled Sans, Berkeley Mono for the visit interface;the on-screen path to a real clinician as the hero with wait time and licensing answered plainly, no stock laptop-doctor;source the accent from the actual care experience (a reassuring exam-room hue) not a default tele-blue-and-teal"
Senior care,Lora;Mulish;Nunito Sans,soft-gradient-blue calm;hands-clasped stock;institutional grey,care-violet #5e4b8b;warm-amber #e6b566,"Soft blue with a clasped-hands stock photo and institutional grey is the senior-care reflex. The adult child needs dignity and real residents, with care levels and a tour clear.","Lyon Text, Hanken Grotesk for UI;real residents and named staff with dignity, care levels and a tour path clear, no clasped-hands stock or institutional grey;ground in a warm dignified palette from the actual community (a sunlit-wood common room) not soft-gradient-blue"
Optometry,Montserrat;Jost;Poppins,clinical-blue;rounded eye/glasses icon;stock model in frames,optic-blue #16486a;cyan #52b7c9,"Clinical blue with a rounded eye-icon and a stock model in frames is the optometry reflex. Bridge eye-health and the retail frame try-on — make both first-class, vision crisp.","ABC Diatype, GT Sectra for headings;exam-booking and frame-browsing both first-class with crisp vision-clear imagery, no rounded eye-clipart;take the accent from the actual lens/frame experience (a precise optical cyan) not a default optic-blue"
Pediatrics,Baloo 2;Fredoka;Poppins,primary-color cartoon;balloon-and-crayon clipart;juvenile everything,kid-blue #2d7dd2;sunny #f4b942,"Primary-color cartoons with balloon-and-crayon clipart is the pediatrics reflex that talks down to the paying parent. Reassure the parent first, delight the child second — bright but credible.","Hanken Grotesk, Newsreader for an accent serif;the parent reassured first with real providers and the portal surfaced, bright-but-credible over balloon-clipart juvenilia;keep color cheerful-yet-trustworthy from the real practice, not a default primary kid-blue-and-sunny"
Plumbing/HVAC,Oswald;Anton;Barlow Condensed,stock-blue;wrench/pipe clipart;'professional & reliable' banner,trade-navy #0c3c60;hi-vis-orange #e8772e,"Stock blue with wrench clipart and a 'professional & reliable' banner is the plumber reflex. Response time, a real phone number, and the actual crew/trucks beat corporate polish.","Aktiv Grotesk, Barlow for the dispatch numerals;the real crew and trucks with a response-time promise and a tap-to-call as the hero, no wrench-clipart banner;ground in the company's real livery color (the truck's actual paint) not a stock trade-navy-and-hi-vis-orange"
Hair salon/barber,Playfair Display;Cormorant;Great Vibes,script-luxe;gold-on-black;empty-chair stock,salon-bronze #b08d57;noir #1a1a1a,Script-luxe gold-on-black with an empty-chair stock photo is the salon reflex. The actual work is the pitch — a real lookbook and named-stylist booking beat a script wordmark.,"Reckless for one display line, Söhne body;a real lookbook of THIS salon's work with named-stylist online booking as the focal pair, no empty-chair stock;pull color from the salon's own interior and brand, not a default script gold-on-black"
Auto repair,Oswald;Rajdhani;Barlow Condensed,stock-blue checkered-flag;wrench-and-gear clipart;'honest service' banner,mechanic-graphite #22262b;safety-red #d64933,"Stock blue with checkered-flag and wrench-gear clipart is the auto-shop reflex. Transparency — upfront estimates, real techs, warranty — counters mechanic distrust, not a flag motif.","Berkeley Mono for estimate figures, Px Grotesk body;upfront estimates and real techs with warranty terms shown plainly, gritty-honest over checkered-flag clipart;source the accent from the shop's real identity (a tool-brand red that is theirs) not stock graphite-and-safety-red"
Home cleaning,Quicksand;Nunito;Comfortaa,sparkle-clipart;teal-and-white fresh;stock maid in uniform,clean-teal #1c7c9c;fresh-mint #9ad9c7,"Sparkle clipart with teal-and-white and a stock uniformed maid is the cleaning reflex. The relief of a clean home plus a vetted, background-checked person sell — not sparkle icons.","Hanken Grotesk, GT Sectra for the wordmark;instant pricing and background-check proof with the relief of a real clean home shown, no sparkle-clipart;take color from the brand's own fresh identity, not a default clean-teal-and-mint with a stock maid"
Landscaping/lawn,Oswald;Bebas Neue;Barlow,generic-green gradient;leaf clipart;stock perfect-lawn,lawn-green #33691e;lime #c5e063,A generic green gradient with leaf clipart and a stock perfect-lawn is the landscaping reflex. Real transformed yards in this region's plants and a local service map differentiate.,"Söhne, Druk for one bold line;real before/after of THIS region's yards with a local service map, seasonal and place-specific over leaf-clipart;ground in the actual local flora and soil color, not a default lawn-green-and-lime gradient"
Moving company,Oswald;Anton;Barlow Condensed,stock-blue truck-silhouette;'fast & reliable' banner;cardboard-box clipart,mover-blue #234e70;hi-vis-amber #f0a124,"Stock blue with a truck silhouette, a 'fast & reliable' banner, and box clipart is the mover reflex. Trust with your belongings — the real crew, insurance, transparent quote — sells.","Basis Grotesque, Barlow for quote numerals;the real crew, insurance, and a fast transparent quote as the focal trust, no truck-silhouette-and-box clipart;source color from the company's actual truck livery, not a stock mover-blue-and-amber"
Locksmith,Oswald;Rajdhani;Barlow Condensed,stock-blue padlock-icon;'24/7 emergency' red banner;keyhole clipart,lock-indigo #2b2d42;brass #c9a227,"A stock-blue padlock icon with a red '24/7' banner is the locksmith reflex. An emergency trade — the call button, response time, license, and ID-on-arrival defeat the scam fear.","National 2, Barlow for the dispatch line;the call button and response time as the hero with license and ID-on-arrival visible, no padlock-clipart banner;take the accent from a real brass/key material cue, not a stock lock-indigo-and-red"
Pet grooming,Baloo 2;Fredoka;Comfortaa,cartoon-paw;pastel-pink rounded;clipart dog silhouette,groom-violet #7a5c9e;blush-pink #f4a6c0,"Cartoon paws with pastel-pink rounded everything is the pet-grooming reflex. Adorable real before/after of actual pets and the groomer's gentleness sell, not a paw-clipart.","Untitled Sans, GT Sectra for the wordmark;adorable real before/after of actual pets with booking by size/breed, the groomer's gentleness shown over cartoon-paw clipart;pull color from the shop's own playful identity, not a default groom-violet-and-blush-pink"
Childcare/daycare,Baloo 2;Fredoka;Quicksand,primary-rainbow;crayon-and-ABC clipart;balloon everything,daycare-orange #e8743b;sky-teal #5bb8b0,"Primary rainbow with crayon-and-ABC clipart is the daycare reflex that overwhelms anxious parents. Safety and warmth together — a real day, named caregivers, ratios — reassure.","Hanken Grotesk, Tiempos Text for warmth;a real day shown with named caregivers, ratios, and safety, credible-bright over crayon-rainbow clipart;keep the palette warm-and-trustworthy from the actual space, not a default daycare-orange-and-teal rainbow"
