product_type,keywords,primary_style,secondary_styles,landing_pattern,key_considerations
Hotel,"hotel,resort,stay,rooms,booking,hospitality",Refined inviting,"Understated premium,Editorial elegance","Hero + Experience + Rooms + Amenities + Reviews + Book","Evoke escape and comfort with immersive visuals while keeping rates and booking always within reach."
Real estate,"real estate,property,listings,homes,agents,rentals",Aspirational clean,"Trustworthy classic,Product-first","Hero + Search + Featured listings + Agents + Process + CTA","Put search and strong property imagery first; buyers scan many options before they commit to contact."
Legal,"legal,law,attorney,firm,counsel,litigation",Conservative authority,"Trustworthy classic,Understated premium","Hero + Practice areas + Credentials + Cases + Team + CTA","Signal gravitas and discretion; credibility and clarity outweigh visual flourish in legal trust-building."
Nonprofit,"nonprofit,charity,donate,cause,impact,community",Hopeful humanist,"Warm minimal,Story-driven","Hero + Mission + Impact + Stories + Ways to give + Donate","Connect emotionally through real stories and concrete impact, then make giving simple and transparent."
Gaming,"gaming,game,play,esports,arcade,studio",Immersive bold,"Neon accent,Motion-driven","Hero + Trailer + Features + World + Community + CTA","Lead with spectacle and atmosphere; trailers and visuals sell the fantasy better than copy."
Music,"music,artist,album,streaming,tour,sound",Expressive atmospheric,"Bold typographic,Dark immersive","Hero + Latest release + Music + Tour + About + Follow","Set a strong mood that matches the sound and make listening and following frictionless."
News/editorial,"news,editorial,articles,journalism,magazine,stories",Editorial classic,"Information dense,Typographic hierarchy","Hero story + Top stories + Sections + Featured + Subscribe","Prioritize scannable hierarchy and reading comfort so dense content stays navigable and credible."
Docs,"docs,documentation,reference,guides,api,knowledge",Functional clarity,"Technical minimal,Structured clarity","Sidebar nav + Search + Content + Code blocks + Related","Optimize for fast retrieval with strong search, clear structure, and readable code and prose."
Analytics dashboard,"analytics,dashboard,metrics,reporting,charts,insights",Data-forward,"Clean technical,Information dense","Top bar + Filters + KPI cards + Charts + Tables","Maximize information clarity and density without overwhelm; let key metrics surface at a glance."
Logistics,"logistics,shipping,supply chain,tracking,freight,delivery",Operational clean,"Data-forward,Trustworthy classic","Hero + Capabilities + Tracking + Network + Proof + CTA","Communicate reliability and reach; visibility into status and coverage reassures operational buyers."
Insurance,"insurance,coverage,policy,claims,protection,quotes",Reassuring trustworthy,"Calm precision,Friendly approachable","Hero + Coverage + How it works + Quote + Trust + CTA","Make complex coverage feel simple and safe, and put a fast, honest quote path front and center."
Government,"government,public,civic,services,agency,citizens",Accessible plain,"Structured clarity,Trustworthy classic","Hero + Services + Information + Resources + Contact","Prioritize accessibility, plain language, and findability so every citizen can complete their task."
Wellness,"wellness,spa,selfcare,relaxation,holistic,balance",Serene natural,"Warm minimal,Soft humanist","Hero + Philosophy + Services + Experience + Reviews + Book","Cultivate calm through soft palettes and breathing room that mirror the restorative promise."
Web3,"web3,decentralized,dao,nft,protocol,onchain",Futuristic gradient,"Neon accent,Dark technical","Hero + Vision + Protocol + Ecosystem + Community + CTA","Pair forward-looking energy with clear utility and transparency to counter hype fatigue."
Enterprise B2B,"enterprise,b2b,corporate,solutions,scale,procurement",Corporate confident,"Calm precision,Trustworthy classic","Hero + Solutions + Outcomes + Logos + Case studies + CTA","Speak to multiple stakeholders with ROI, security, and proof that the platform scales reliably."
Startup MVP,"startup,mvp,launch,early,product,validation",Fresh minimal,"Friendly geometric,Bold typographic","Hero + Value prop + How it works + Early proof + Waitlist","Communicate one clear idea fast and capture interest before over-investing in polish or scope."
Podcast,"podcast,audio,episodes,host,listen,show",Warm conversational,"Bold typographic,Atmospheric","Hero + Latest episode + Episodes + About + Subscribe","Make the newest episode instantly playable and give listeners every easy way to subscribe."
Food delivery,"food delivery,order,restaurants,meals,fast,app",Appetizing energetic,"Bright playful,Product-first","Hero + How it works + Cuisines + App + Offer + CTA","Show speed and variety with crave-worthy imagery and a one-tap path from craving to order."
Dating,"dating,match,relationships,profiles,connect,social",Warm playful,"Soft gradient mesh,Friendly approachable","Hero + How it works + Success stories + Safety + Download","Inspire optimism and belonging while making safety and authenticity visibly central to the experience."
Productivity,"productivity,tasks,focus,organize,workflow,planning",Clean focused,"Friendly geometric,Calm precision","Hero + Use cases + Features + Workflow + Proof + CTA","Show how it removes friction from daily work, keeping the interface calm and the value immediate."
Email,"email,inbox,messaging,communication,client,mail",Efficient minimal,"Clean technical,Calm precision","Hero + Inbox preview + Features + Speed + Privacy + CTA","Emphasize speed, focus, and privacy since users are deeply attached to existing email habits."
CRM,"crm,sales,pipeline,contacts,deals,leads",Structured professional,"Data-forward,Corporate confident","Hero + Pipeline view + Features + Integrations + ROI + CTA","Demonstrate pipeline clarity and time saved, and prove it fits an existing sales stack smoothly."
HR,"hr,people,hiring,payroll,employees,culture",Friendly professional,"Soft humanist,Structured clarity","Hero + Modules + How it works + Compliance + Proof + CTA","Balance warmth toward people with reassurance on compliance and the rigor admins require."
Marketplace,"marketplace,buyers,sellers,listings,platform,trade",Vibrant trustworthy,"Product-first,Friendly approachable","Hero + Dual value + How it works + Listings + Trust + CTA","Serve both sides clearly and foreground trust mechanisms that make strangers comfortable transacting."
Subscription box,"subscription box,curated,monthly,delivery,unboxing,members",Playful premium,"Bright playful,Editorial elegance","Hero + What's inside + How it works + Plans + Reviews + CTA","Sell anticipation and curation, then make the recurring value and easy cancellation obvious."
Automotive,"automotive,cars,vehicles,dealership,drive,models",Sleek dynamic,"High contrast,Product-first","Hero + Model showcase + Specs + Configurator + Offers + CTA","Let the vehicle command the screen with cinematic imagery and a clear path to configure or test drive."
Dental clinic,"dental,dentist,teeth,oral,hygiene,cleaning",Calm clinical,"Soft humanist,Trustworthy classic","Hero + Services + New-patient offer + Team + Reviews + Book","Defuse dental anxiety with bright honest cleanliness and real staff faces; make the new-patient booking and insurance answer obvious."
Veterinary clinic,"veterinary,vet,pets,animals,wellness,exam",Warm approachable,"Friendly approachable,Soft humanist","Hero + Services + Meet the vets + Pet stories + Hours + Book","Pets are family, so lead with warmth and real animal photos; surface emergency hours and what to expect over clinical sterility."
Dermatology/medspa,"dermatology,medspa,skin,aesthetic,botox,laser",Premium aesthetic,"Understated premium,Editorial elegance","Hero + Treatments + Before/after + Providers + Pricing + Consult","Sell aesthetic results and medical credibility together; real (consented) before/after and provider qualifications beat luxury-spa staging alone."
Physical therapy,"physical therapy,rehab,injury,recovery,mobility,sports",Active reassuring,"Soft humanist,Bold energetic","Hero + Conditions + How it works + Therapists + Results + Book","Show movement and recovery progress, not a generic clinic; lead with the specific injury paths and a believable return-to-activity timeline."
Pharmacy,"pharmacy,prescriptions,refills,medication,pharmacist,rx",Trustworthy accessible,"Calm precision,Friendly approachable","Hero + Refill + Services + Transfer + Pharmacist + CTA","Make refilling and transferring a prescription the unmissable primary action; reassure on safety and a real pharmacist, not retail clutter."
Telemedicine,"telemedicine,telehealth,virtual,online doctor,video visit,care",Modern clinical,"Calm precision,Friendly approachable","Hero + How it works + Conditions + See a doctor + Pricing + Start","Make the on-screen 3-step path to a real clinician the hero; address wait time, licensing, and what gets treated to overcome remote-care doubt."
Senior care,"senior care,elder,assisted living,caregiver,aging,memory care",Warm dignified,"Soft humanist,Trustworthy classic","Hero + Care levels + Community + Staff + Family resources + Tour","Speak to the adult child making the decision; convey dignity and real residents, with care levels and a tour path clear, not institutional grey."
Optometry,"optometry,eyewear,eye exam,glasses,vision,optician",Clear precise,"Clean technical,Friendly approachable","Hero + Exams + Eyewear + Book + Insurance + CTA","Bridge clinical eye-health and the retail frame experience; make booking an exam and browsing frames both first-class, vision crisp throughout."
Pediatrics,"pediatrics,children,kids doctor,vaccines,wellness,family",Friendly reassuring,"Friendly approachable,Soft humanist","Hero + Services + For parents + Providers + Portal + Book","Reassure the parent first, delight the child second; keep it bright and credible with real providers, not cartoon-juvenile, and surface the portal."
Plumbing/HVAC,"plumbing,hvac,heating,cooling,repair,emergency",Dependable trade,"Bold energetic,Structured clarity","Hero + Services + Service area + Reviews + Financing + Call","Lead with response time, a real phone number, and proof of the actual crew and trucks; local reviews and a trade license beat stock corporate polish."
Hair salon/barber,"salon,barber,haircut,stylist,grooming,color",Stylish local,"Editorial elegance,Bold typographic","Hero + Services + Lookbook + Stylists + Pricing + Book","The work IS the pitch — lead with a real lookbook and the actual chair experience; make online booking with a named stylist effortless."
Auto repair,"auto repair,mechanic,car service,brakes,oil change,garage",Honest mechanical,"High contrast,Structured clarity","Hero + Services + Why us + Reviews + Estimate + Call","Counter the distrust of mechanics with transparency: upfront estimates, real techs, warranty terms; gritty-honest beats slick-corporate here."
Home cleaning,"cleaning,maid,housekeeping,home service,tidy,recurring",Fresh trustworthy,"Friendly approachable,Calm precision","Hero + How it works + Pricing + Trust/vetting + Reviews + Book","Sell the relief of a clean home and the trust of a vetted person in it; instant pricing and background-check proof matter more than sparkle clip-art."
Landscaping/lawn,"landscaping,lawn,garden,yard,maintenance,outdoor",Natural rugged,"Rustic texture,Bold energetic","Hero + Services + Portfolio + Service area + Reviews + Quote","Show real transformed yards in this region's plants and seasons; before/after and a local service map beat a generic green gradient."
Moving company,"moving,movers,relocation,packing,storage,local",Reliable sturdy,"Structured clarity,Bold energetic","Hero + Services + How it works + Quote + Reviews + Book","Movers sell trust with your stuff — lead with the crew, insurance, and a fast honest quote; transparent pricing counters the industry's bad reputation."
Locksmith,"locksmith,locks,keys,security,lockout,rekey",Urgent trustworthy,"Structured clarity,Bold typographic","Hero + Services + Service area + Response time + Reviews + Call","An emergency-driven trade: make the call button and response time the hero, license and ID-on-arrival visible to defeat the scam-locksmith fear."
Pet grooming,"pet grooming,groomer,dog,cat,bath,nails",Playful caring,"Friendly approachable,Bright playful","Hero + Services + Gallery + Pricing + Reviews + Book","Lead with adorable real before/after of actual pets; warmth and the groomer's gentleness sell more than price, with easy booking by pet size/breed."
Childcare/daycare,"childcare,daycare,preschool,nursery,early learning,kids",Warm safe,"Friendly approachable,Soft humanist","Hero + Programs + A day here + Safety + Staff + Tour","Reassure parents on safety and warmth simultaneously; show a real day, named caregivers, and ratios — credible-bright, never scary-sterile or saccharine."
Tutoring,"tutoring,tutor,test prep,academic,homework,enrichment",Encouraging credible,"Structured clarity,Friendly approachable","Hero + Subjects + How it works + Tutors + Results + Book","Show a credible path to a grade or score with real outcomes and qualified tutors; encouraging-not-juvenile, with matching and scheduling up front."
Travel blog,"travel blog,destinations,itinerary,wanderlust,guides,stories",Immersive editorial,"Editorial elegance,Story-driven","Hero story + Destinations + Latest posts + About + Subscribe","Let the photography and a strong narrative voice lead; this is a personal place, not a booking funnel — make reading and subscribing the natural path."
Wedding/events,"wedding,events,venue,planner,celebration,bridal",Romantic refined,"Editorial elegance,Understated premium","Hero + Gallery + Services + Real weddings + Pricing + Inquire","Sell the feeling through real (not stock) celebrations; elegance and a clear inquiry path matter, with a palette drawn from the actual venue or season."
Interior design,"interior design,decor,home,renovation,styling,space",Editorial tactile,"Editorial elegance,Understated premium","Hero + Portfolio + Services + Process + About + Inquire","The portfolio is the entire argument — full-bleed real rooms lead; convey taste and material sense, with process and inquiry clear but understated."
Fashion brand,"fashion,apparel,clothing,collection,lookbook,style",Editorial bold,"Editorial elegance,Bold typographic","Hero + Collection + Lookbook + Story + Shop + CTA","Lead with the lookbook and a confident point of view; the brand's own art direction sets the palette, with shopping a click away but never cheapening it."
Beauty/cosmetics,"beauty,cosmetics,makeup,shades,foundation,glow",Vibrant tactile,"Bright playful,Editorial elegance","Hero + Bestsellers + Shade finder + Ingredients + Reviews + Shop","Make swatches and shade-matching the hero; real skin tones and honest ingredient/results proof beat airbrushed model gloss for modern beauty buyers."
Jewelry,"jewelry,fine jewelry,rings,diamonds,gold,bespoke",Refined luminous,"Understated premium,Editorial elegance","Hero + Collections + Craftsmanship + Bespoke + Story + Shop","Let the piece and its material catch light at scale; provenance, metal, and stone specificity convey value far more than a generic luxury-serif costume."
Coffee roaster,"coffee,roaster,beans,espresso,brew,cafe",Crafted warm,"Rustic texture,Editorial elegance","Hero + Shop beans + Origins + Subscription + Story + CTA","Sell origin, roast, and ritual; the roast browns and real bag/origin story set the palette, with subscription and brew guidance over hipster cliche."
Brewery/winery,"brewery,winery,beer,wine,tasting,vineyard",Crafted bold,"Rustic texture,Bold typographic","Hero + Our drinks + Taproom + Story + Events + Visit","Convey craft and place — the actual liquid, label art, and the room; lead taproom hours and tastings with a palette from the brew or terroir, not novelty fonts."
Yoga/pilates studio,"yoga,pilates,studio,classes,mindful,movement",Serene grounded,"Warm minimal,Soft humanist","Hero + Classes + Schedule + Instructors + Pricing + Book","Convey calm and capability without spa cliche; real studio light and instructors lead, with the schedule and a first-class offer immediately bookable."
Outdoor/adventure gear,"outdoor,adventure,hiking,gear,camping,rugged",Rugged authentic,"Rustic texture,Bold typographic","Hero + Featured gear + Field stories + Tech + Reviews + Shop","Earn credibility with real field photography and durability proof, not studio-staged kit; the terrain and use set the palette, gear specs front and center."
Parenting/baby,"parenting,baby,newborn,nursery,family,products",Soft reassuring,"Soft humanist,Warm minimal","Hero + Products + Why parents trust us + Safety + Reviews + Shop","Reassure tired parents fast — safety, real families, honest reviews; soft-but-credible warmth, with the trap being saccharine pastel-overload over substance."
Home goods/furniture,"furniture,home goods,decor,sofa,table,homeware",Tactile editorial,"Editorial elegance,Understated premium","Hero + Featured pieces + Rooms + Materials + Reviews + Shop","Let the material and silhouette lead in real rooms; convey craft and scale honestly, with the wood/textile palette and dimensions clear over flat-pack vibes."
Independent bookstore,"bookstore,books,reading,literary,shop,indie",Literary cozy,"Rustic texture,Editorial elegance","Hero + Staff picks + Events + Categories + About + Visit","Lean into curation and personality — staff picks and events are the soul; a warm literary character beats a sterile catalog, with store hours and a story."
Florist,"florist,flowers,bouquet,arrangement,delivery,blooms",Fresh artful,"Editorial elegance,Warm minimal","Hero + Shop arrangements + Occasions + Subscription + Story + CTA","Let the actual blooms and seasonal color lead; arrangement artistry and same-day delivery sell, with the flowers' own palette over a default floral pink."
Skincare DTC,"skincare,serum,routine,ingredients,clean,dtc",Clean credible,"Warm minimal,Calm precision","Hero + Hero product + Ingredients + Routine + Results + Shop","Modern skincare buyers want efficacy proof — ingredient transparency, real results, and routine clarity beat clinical-white minimalism or wellness fluff."
Creator/newsletter,"creator,newsletter,writer,audience,substack,independent",Personal editorial,"Bold typographic,Editorial elegance","Hero + What you'll get + Recent issues + About + Subscribe","This is a person, not a brand — voice and a clear subscribe value lead; the writing samples and personality differentiate over a templated newsletter LP."
Conference/event,"conference,event,summit,speakers,tickets,agenda",Energetic structured,"Bold typographic,Motion-driven","Hero + Speakers + Agenda + Venue + Tickets + Register","Create urgency and FOMO with real speakers and a scannable agenda; the event's own brand and date drive a clear ticket CTA over generic tech-event neon."
Job board,"job board,jobs,careers,hiring,listings,roles",Functional trustworthy,"Structured clarity,Clean technical","Hero + Search + Featured jobs + Categories + For employers + CTA","Search is the product — make it the hero with real, fresh listings; serve both seekers and employers, with credibility from filled-role proof over stock office art."
Coworking space,"coworking,workspace,desk,office,community,membership",Vibrant social,"Bold typographic,Friendly approachable","Hero + Spaces + Amenities + Community + Pricing + Tour","Sell the real space and the community in it — actual photos and member life; plans, location, and a tour path lead over a generic startup-loft aesthetic."
Coaching/consulting,"coaching,consulting,advisor,strategy,executive,mentor",Credible personal,"Understated premium,Editorial elegance","Hero + Who I help + Approach + Results + About + Book","Trust is personal here — a real face, specific outcomes, and a defined niche lead; quiet authority and a clear booking path beat guru-stock and vague promises."
Accounting/bookkeeping,"accounting,bookkeeping,tax,cpa,finance,books",Precise trustworthy,"Calm precision,Structured clarity","Hero + Services + Who we serve + Process + Pricing + Consult","Convey accuracy and approachability for small-business owners; clear services, real credentials, and transparent pricing beat stiff corporate-finance navy."
Construction,"construction,builder,contractor,renovation,build,commercial",Solid substantial,"Bold typographic,Structured clarity","Hero + Projects + Services + Process + Safety + Quote","Lead with completed real projects at scale and the crew; safety record, licensing, and project proof convey capability over a generic hardhat-clipart look."
Manufacturing/industrial,"manufacturing,industrial,factory,production,oem,parts",Precise industrial,"Data-forward,Structured clarity","Hero + Capabilities + Certifications + Industries + Quality + Contact","Speak to procurement engineers: real capabilities, tolerances, and certifications lead; capability and quality proof beat vague industrial stock and blue gradients."
Agriculture/agtech,"agriculture,agtech,farming,crops,harvest,soil",Grounded modern,"Data-forward,Rustic texture","Hero + Solution + How it works + Field results + Proof + CTA","Bridge real farming and data credibility — actual fields plus the yield numbers; ground in soil, crop, and season color over a sterile SaaS-on-a-tractor look."
Energy/solar,"energy,solar,renewable,panels,clean,savings",Clean optimistic,"Calm precision,Data-forward","Hero + How it works + Savings + Installation + Proof + Quote","Lead with concrete savings and the real install process; sun/sky optimism plus honest payback numbers beat vague green-tech gradients and eco-cliche."
Telecom,"telecom,internet,mobile,broadband,network,connectivity",Connected confident,"Clean technical,Bold typographic","Hero + Plans + Coverage + Speed + Support + CTA","Make plans and coverage the clear decision — real speeds, transparent pricing, a coverage map; counter telecom distrust with honesty over flashy network art."
Church/religious,"church,faith,worship,ministry,community,congregation",Warm reverent,"Soft humanist,Editorial elegance","Hero + Welcome + Service times + Beliefs + Get involved + Visit","Welcome newcomers warmly — service times, what to expect, and real community lead; sincere and inviting beats either stiff-institutional or trend-chasing hype."
Museum/gallery,"museum,gallery,exhibition,art,collection,culture",Editorial spatial,"Editorial elegance,Minimal expressive","Hero + Current exhibition + Visit + Collection + Events + Plan","Let the art and exhibition lead at full scale; the institution's own identity and the current show set the palette, with visit info and ticketing always reachable."
Sports team/club,"sports,team,club,fans,fixtures,tickets",Bold spirited,"Bold typographic,High contrast","Hero + Next fixture + News + Players + Tickets + Shop","Channel club identity and fan energy — the team's real colors and crest lead; the next fixture, tickets, and players drive action over generic sports-template neon."
Artisanal food/maker,"artisanal,small batch,maker,mill,provisions,specialty food,heritage,jam,honey,preserves,grocer",Crafted heritage,"Editorial elegance,Rustic texture",Hero + The product + Process/provenance + Makers + Where to buy + CTA,"Sell provenance and process — the named farm, the actual method, the single harvest; let the material's own color and the work itself lead over a default cream-and-serif heritage costume."
Bakery,"bakery,bread,pastry,sourdough,loaf,baker,patisserie,croissant",Warm crafted,"Editorial elegance,Rustic texture",Hero + The bakes + Our method + Visit/order + Story + CTA,Let the crumb and crust do the selling with honest product shots; source the palette from the actual bake and lead ordering or hours over a script-font-on-flour cliche.
