ui_category,keywords,recommended_pattern,style_priority,color_mood,type_mood,key_effects,anti_patterns
Cybersecurity,"security,threat,defense,protect,soc",Threat-aware hero then capability grid then certs proof then demo request,Serious technical + controlled depth,midnight base with alert-amber accent,authoritative and exact,"subtle scan-line motion; metric reveal 500ms","skull-and-hoodie cliche; fearmongering; jargon soup"
Dashboard/analytics,"dashboard,metrics,charts,reports,data",Top KPI row then primary chart then secondary widgets then table,Functional minimal + data density,neutral surface with semantic status colors,compact and unambiguous,"chart draw-in 600ms; tooltip fade 120ms; row hover tint","decorative chrome over data; low-contrast text; rainbow categories"
Gaming,"game,play,arcade,studio,esports",Cinematic hero then trailer then features then community then play CTA,Immersive bold + heavy motion,dark stage with high-energy neon accent,dynamic and punchy,"hero parallax; button charge-up 300ms; particle accents","static lifeless layout; tiny CTA; flat corporate feel"
Music,"music,artist,album,stream,playlist",Now-playing hero then releases then artists then playlists,Vivid expressive + rhythm,saturated dark with vibrant duotone accent,bold and emotive,"album hover zoom 250ms; waveform pulse to beat","busy backgrounds drowning art; hidden play control; clashing colors"
News,"news,article,media,headlines,journalism",Lead story hero then section grid then latest column then newsletter,Editorial dense + clear hierarchy,paper neutral with restrained masthead accent,journalistic and highly readable,"hover underline 100ms; sticky read-progress bar","autoplay video ads; cramped line length; clickbait noise"
Docs,"docs,documentation,guide,reference,manual",Persistent sidebar nav then content column then on-page table of contents,Utility minimal + reading comfort,soft off-white with calm link accent,clean type tuned for long reading,"anchor smooth-scroll 300ms; copy-code feedback 150ms","cramped margins; low contrast; no search; headingless walls"
Restaurant,"restaurant,menu,food,dining,reserve",Appetite hero then menu highlights then ambiance gallery then reserve,Warm sensory + photography-led,toasted warm tones with herb-green accent,inviting and characterful,"dish image fade-up 280ms; gentle gallery slide","hard-to-find menu; PDF-only menu; cold corporate palette"
Hotel,"hotel,stay,booking,rooms,resort",Destination hero then rooms then amenities then booking widget,Elegant refined + lush imagery,sand and stone with deep accent,gracious and aspirational,"hero slow pan; room card reveal 300ms","intrusive booking popups; dated gradients; tiny photos"
Real estate,"realestate,property,listing,home,agent",Search hero then featured listings then map view then agent contact,Clean trustworthy + imagery,warm neutral with grounded accent,clear and confident,"listing hover lift 200ms; map pin pop 150ms","slow heavy galleries; hidden prices; clashing agent branding"
Legal,"legal,law,firm,attorney,counsel",Authority hero then practice areas then attorney profiles then consult,Conservative formal + structure,deep charcoal with subdued gold accent,formal and credible,"restrained fade-in 300ms; underline-on-hover links","flashy animation; casual slang; dense disclaimers up front"
Nonprofit,"nonprofit,charity,donate,cause,impact",Mission hero then impact stats then stories then donate CTA,Warm human + clear focus,hopeful warm with grounded green accent,sincere and motivating,"impact count-up 600ms; donate button emphasis pulse","guilt-heavy dark imagery; buried donate button; vague impact"
Social,"social,community,feed,profile,connect",Feed-centric layout then compose then profile rail then discovery,Friendly modern + lightweight,bright neutral with lively accent,approachable and compact,"like burst 200ms; infinite-scroll fade-in","heavy chrome; sluggish interactions; notification overload visuals"
Marketplace,"marketplace,buyer,seller,listings,vendor",Search hero then category tiles then featured listings then trust signals,Versatile clean + imagery,neutral canvas with dual buyer-seller accent,clear and balanced,"card hover raise 200ms; filter chip toggle 120ms","inconsistent listing cards; trust gaps; overwhelming filters"
Wellness,"wellness,mindful,fitness,self-care,calm",Calm hero then programs then benefits then begin path,Soft serene + breathing space,muted earth with soft sage accent,gentle and grounding,"slow fade-up 350ms; soft scale on hover 250ms","high-energy clutter; aggressive sales; harsh contrast"
Crypto/Web3,"crypto,web3,token,wallet,defi",Bold thesis hero then product then tokenomics then community,Futuristic bold + glow,deep space base with electric accent duo,confident and technical,"glow pulse 1200ms; number ticker; gradient sheen on hover","unreadable neon-on-neon; hype with no substance; extreme motion"
Enterprise,"enterprise,platform,solution,scale,integration",Solution hero then capabilities then proof then ROI then contact sales,Polished corporate + restraint,corporate blue-gray with measured accent,authoritative and clear,"subtle reveal 300ms; tabbed feature crossfade 200ms","startup whimsy; buzzword salad; no concrete outcomes"
Startup,"startup,launch,growth,venture,mvp",Punchy hero then problem-solution then traction then waitlist CTA,Fresh bold + energy,clean base with one daring accent,bold and direct,"hero entrance 400ms; CTA hover scale 180ms","every trend at once; vague mission; fabricated metrics"
Productivity,"productivity,tasks,focus,organize,workflow",Outcome hero then feature flow then before/after then start free,Clean minimal + clarity,light neutral with focused accent,clear and calm,"checkbox satisfy animation 200ms; smooth tab switch","feature overload; cluttered demo screenshots; distracting motion"
Email,"email,inbox,message,compose,client",Three-pane layout then compose then folders then settings,Functional minimal + density,clean white with single action accent,compact and legible,"row hover tint 100ms; compose slide-up 250ms","heavy decoration; slow list rendering; low-contrast unread states"
CRM,"crm,sales,pipeline,contacts,deals",Pipeline board then contact detail then activity timeline then reports,Functional clean + structure,neutral surface with stage-status colors,clear and organized,"drag-card feedback; stage transition 200ms","cluttered cards; ambiguous stage colors; cramped detail panes"
HR,"hr,people,hiring,payroll,employee",People-centric hero then modules then self-service then admin,Approachable clean + warmth,friendly neutral with warm accent,human and clear,"card reveal 250ms; tab crossfade 200ms","cold bureaucratic gray; jargon-heavy forms; tiny dense tables"
Logistics,"logistics,shipping,fleet,tracking,supply",Tracking hero then network map then capabilities then quote,Industrial clean + data clarity,steel neutral with motion-orange accent,precise and operational,"route animation on map; status pulse 1000ms","decorative clutter over operational data; unclear tracking; weak contrast"
Insurance,"insurance,coverage,policy,claim,quote",Reassurance hero then coverage options then claims then get quote,Trustworthy clean + structure,steady blue with calm accent,clear and dependable,"quote step transition 250ms; gentle fade-in","fine-print walls up front; fearmongering; confusing plan tables"
Government,"government,public,services,citizen,agency",Service-finder hero then top tasks then departments then contact,Accessible utility + clarity,official blue with neutral base,plain and accessible,"minimal fade 200ms; clear focus states","trendy effects; jargon; low accessibility contrast; buried key tasks"
Kids,"kids,children,play,family,fun",Playful hero then activities then characters then parent area,Playful rounded + bright,cheerful primary palette with soft pastels,big friendly rounded type,"bouncy button press 250ms; character wiggle loop","tiny text; scary imagery; dark moody palette; complex navigation"
Podcast,"podcast,audio,episode,show,listen",Featured episode hero then episode list then hosts then subscribe,Bold audio-forward + rhythm,warm dark with vivid accent,expressive and clear,"play button morph 200ms; waveform animate on play","hidden play controls; tiny episode art; cluttered list"
Food delivery,"delivery,food,order,fast,cuisine",Location hero then cuisine tiles then restaurant cards then order,Appetite-driven + speed,warm appetizing tones with energetic accent,inviting and quick,"card hover lift 180ms; cart badge pop 150ms","slow image loads; hidden fees; confusing reorder flow"
Dating,"dating,match,profile,connect,swipe",Inviting hero then how-it-works then success stories then sign-up,Warm friendly + soft depth,warm light tones with inviting accent,warm and approachable,"card swipe physics; match burst 300ms","sleazy imagery; aggressive upsell; cold sterile feel"
Subscription,"subscription,plan,recurring,membership,box",Value hero then plan comparison then included list then subscribe,Clean persuasive + clarity,warm neutral with confident accent,clear and persuasive,"plan card hover raise 200ms; monthly-annual toggle 150ms","hidden cancellation; cluttered plan tables; dark-pattern defaults"
Automotive,"automotive,car,vehicle,dealer,configure",Cinematic vehicle hero then configurator then specs then test drive,Sleek premium + motion,deep metallic neutral with sharp accent,bold and precise,"hero pan reveal; configurator color swap 250ms","cheap clip-art cars; spec-dump clutter; weak imagery"
Dental clinic,"dental,dentist,teeth,oral,appointment",Calm hero then services then new-patient offer then team then book,Clean clinical + warmth,fresh clinical teal with soft mint,reassuring and legible,"smooth reveal 280ms; large book-now tap target","tooth-clipart hero; stock smiling family; cold sterile grey"
Veterinary clinic,"veterinary,vet,pets,animals,exam",Warm hero then services then meet-the-vets then pet stories then book,Friendly warm + photo-led,grounded leaf green with honey accent,caring and approachable,"gentle photo fade-up 280ms; soft hover lift 200ms","cartoon paw-print; clinical sterility; hidden emergency hours"
Dermatology/medspa,"dermatology,medspa,skin,aesthetic,treatment",Aesthetic hero then treatments then before/after then providers then consult,Premium refined + medical proof,muted aubergine with champagne-gold,refined and credible,"slow image reveal 320ms; before/after slider","airbrushed soft-focus only; spa-staging hiding the medicine; vague results"
Physical therapy,"physical therapy,rehab,recovery,mobility,book",Movement hero then conditions then how-it-works then results then book,Active reassuring + clarity,clinical blue with recovery green,capable and forward,"progress reveal 400ms; press feedback on tap targets","stock anatomy diagram; generic therapist hands; no recovery timeline"
Pharmacy,"pharmacy,prescriptions,refill,medication,rx",Refill-action hero then services then transfer then pharmacist then CTA,Trustworthy accessible + clarity,apothecary green with calm sky accent,reliable and clear,"action button emphasis; gentle fade-in 280ms","green-cross-and-pill clipart; retail-chain clutter; buried refill action"
Telemedicine,"telemedicine,telehealth,virtual,video visit,start",Path hero then how-it-works then conditions then pricing then start,Modern clinical + clarity,modern care-blue with fresh teal,accessible and current,"step transition 250ms; soft pulse on start CTA","stock laptop-doctor; rounded chat-bubble motif; unclear licensing"
Senior care,"senior care,elder,assisted living,tour,family",Warm hero then care levels then community then staff then tour,Warm dignified + structure,dignified soft violet with warm amber,dignified and reassuring,"gentle fade-in 300ms; large legible tap targets","clasped-hands stock; institutional grey; jargon over family clarity"
Optometry,"optometry,eyewear,eye exam,glasses,book",Crisp hero then exams then eyewear then book then insurance,Clear precise + retail bridge,precise optical blue with clear cyan,crisp and clinical,"sharp reveal 240ms; frame hover zoom 250ms","rounded eye-clipart; stock model in frames; exam and frames siloed"
Pediatrics,"pediatrics,children,kids doctor,vaccines,portal",Reassuring hero then services then for-parents then providers then book,Friendly reassuring + credibility,bright friendly blue with sunny accent,reassuring and bright,"soft reveal 280ms; press feedback","balloon-and-crayon clipart; juvenile everything; talking down to parents"
Plumbing/HVAC,"plumbing,hvac,heating,cooling,call",Response hero then services then service-area then reviews then call,Dependable trade + urgency,trade navy with hi-vis orange,ready and reliable,"tap-to-call emphasis; quick fade-in 200ms","wrench-clipart banner; 'professional & reliable' filler; stock corporate"
Hair salon/barber,"salon,barber,haircut,stylist,book",Lookbook hero then services then stylists then pricing then book,Stylish local + photo-led,confident near-black with bronze,stylish and grown-up,"lookbook hover zoom 250ms; smooth booking transition","script-luxe gold-on-black; empty-chair stock; no real work shown"
Auto repair,"auto repair,mechanic,brakes,estimate,call",Trust hero then services then why-us then reviews then estimate,Honest mechanical + transparency,honest graphite with clear red,straightforward and capable,"estimate reveal 250ms; press feedback","checkered-flag clipart; 'honest service' filler; opaque pricing"
Home cleaning,"cleaning,maid,housekeeping,pricing,book",Relief hero then how-it-works then pricing then trust/vetting then book,Fresh trustworthy + clarity,fresh aqua with soft mint,clean and trustworthy,"instant-price reveal 250ms; soft hover 200ms","sparkle clipart; stock uniformed maid; no vetting proof"
Landscaping/lawn,"landscaping,lawn,garden,portfolio,quote",Transformation hero then services then portfolio then service-area then quote,Natural rugged + photo-led,rich grass green with fresh lime,natural and vigorous,"before/after reveal 320ms; map pin pop 150ms","leaf-clipart; generic green gradient; stock perfect-lawn"
Moving company,"moving,movers,relocation,quote,book",Trust hero then services then how-it-works then quote then reviews,Reliable sturdy + clarity,sturdy blue with hi-vis amber,reliable and careful,"quote step transition 250ms; gentle fade-in","truck-silhouette clipart; 'fast & reliable' filler; opaque quote"
Locksmith,"locksmith,locks,keys,lockout,call",Call hero then services then service-area then response-time then reviews,Urgent trustworthy + clarity,secure indigo-charcoal with brass,trustworthy and ready,"tap-to-call emphasis; quick fade-in 200ms","padlock-icon clipart; '24/7' red banner; no license shown"
Pet grooming,"pet grooming,groomer,dog,gallery,book",Cuteness hero then services then gallery then pricing then book,Playful caring + photo-led,playful violet with soft blush,caring and gentle,"before/after fade-up 280ms; soft hover lift 200ms","cartoon-paw; pastel-pink everything; clipart dog silhouette"
Childcare/daycare,"childcare,daycare,preschool,safety,tour",Warm hero then programs then a-day-here then safety then tour,Warm safe + structure,welcoming orange with calm teal,safe and friendly,"gentle reveal 280ms; large tap targets","primary-rainbow overload; crayon-ABC clipart; scary or saccharine extremes"
Tutoring,"tutoring,tutor,test prep,results,book",Path hero then subjects then how-it-works then tutors then results,Encouraging credible + clarity,encouraging indigo with confident gold,credible and motivating,"progress reveal 400ms; card hover raise 200ms","grad-cap clipart; ed-tech primary-blue; no real outcomes"
Travel blog,"travel blog,destinations,posts,about,subscribe",Story hero then destinations then latest-posts then about then subscribe,Immersive editorial + photo-led,vivid sea teal with sunset accent,wanderlust and readable,"image parallax on scroll; hover underline 100ms","script-on-sunset overlay; washed-out filter; booking-funnel feel"
Wedding/events,"wedding,events,venue,gallery,inquire",Feeling hero then gallery then services then real-weddings then inquire,Romantic refined + photo-led,muted mauve with champagne,romantic and refined,"slow gallery slide; image fade-up 300ms","calligraphy-and-confetti; stock bridal pose; generic blush-gold"
Interior design,"interior design,decor,portfolio,process,inquire",Room hero then portfolio then services then process then inquire,Editorial tactile + whitespace,warm taupe-charcoal with clay,tasteful and tactile,"full-bleed image reveal 320ms; subtle parallax","thin-serif-on-cream costume; staged stock interior; gold-hairline cliche"
Fashion brand,"fashion,apparel,collection,lookbook,shop",Lookbook hero then collection then story then shop then CTA,Editorial bold + art direction,confident near-black with stone,confident and editorial,"image mask reveal 500ms; hover zoom 250ms","high-fashion thin-serif costume; monochrome model wall; cheapened shop"
Beauty/cosmetics,"beauty,cosmetics,makeup,shades,shop",Swatch hero then bestsellers then shade-finder then ingredients then shop,Vibrant tactile + proof,rich plum with soft petal,vibrant and honest,"swatch hover 200ms; shade-finder transition 250ms","airbrushed model gloss; blush-pink everything; no real skin tones"
Jewelry,"jewelry,rings,diamonds,bespoke,shop",Piece hero then collections then craftsmanship then bespoke then shop,Refined luminous + material,near-black ink with antique-gold,refined and luminous,"slow light reveal 350ms; subtle rotate on hover","thin-serif-on-black costume; sparkle bokeh; generic luxury sameness"
Coffee roaster,"coffee,roaster,beans,origins,subscribe",Craft hero then shop-beans then origins then subscription then story,Crafted warm + ritual,deep roast brown with copper,crafted and warm,"bag hover lift 200ms; origin map reveal","hipster-condensed-caps; kraft-paper texture; stamp-badge logo cliche"
Brewery/winery,"brewery,winery,beer,wine,taproom",Liquid hero then our-drinks then taproom then story then visit,Crafted bold + place,cellar maroon with harvest-gold,crafted and rooted,"label reveal 300ms; gentle gallery slide","gothic-or-trajan crest; sepia vintage filter; generic badge novelty"
Yoga/pilates studio,"yoga,pilates,classes,schedule,book",Calm hero then classes then schedule then instructors then book,Serene grounded + clarity,grounded studio sage with sand,calm and capable,"slow fade-up 350ms; soft scale on hover 250ms","spa-sage gradient; lotus-pose clipart; airy-serif zen cliche"
Outdoor/adventure gear,"outdoor,adventure,hiking,gear,shop",Field hero then featured-gear then field-stories then tech then shop,Rugged authentic + photo-led,deep pine with ember-orange,rugged and authentic,"field-photo reveal 300ms; card hover lift 200ms","mountain-line-icon; stock summit pose; studio-staged kit"
Parenting/baby,"parenting,baby,newborn,safety,shop",Reassurance hero then products then trust then safety then reviews,Soft reassuring + substance,soft dependable blue with rose,reassuring and warm,"soft reveal 280ms; gentle hover 200ms","pastel-everything; cloud-and-star clipart; saccharine soft-focus"
Home goods/furniture,"furniture,home goods,decor,materials,shop",Piece hero then featured then rooms then materials then shop,Tactile editorial + material,warm walnut-charcoal with oak,tactile and crafted,"image fade-up 300ms; subtle hover lift 200ms","flat-lay-on-white; showroom stock; flat-pack vibes"
Independent bookstore,"bookstore,books,staff picks,events,visit",Welcome hero then staff-picks then events then categories then visit,Literary cozy + character,warm literary aubergine with spine-amber,cozy and curated,"shelf hover tint 150ms; gentle fade-in 250ms","quill-and-book-stack clipart; sterile catalog grid; no personality"
Florist,"florist,flowers,bouquet,occasions,shop",Bloom hero then shop-arrangements then occasions then subscription then story,Fresh artful + photo-led,soft plum with petal accent,fresh and artful,"bloom reveal 300ms; soft hover lift 200ms","script-on-blush; watercolor-bloom clipart; default floral pink"
Skincare DTC,"skincare,serum,routine,ingredients,shop",Hero-product hero then ingredients then routine then results then shop,Clean credible + efficacy,calm botanical green with sand,clean and credible,"product reveal 300ms; ingredient hover 200ms","clinical-white minimalism; dropper flat-lay; wellness-fluff over proof"
Creator/newsletter,"creator,newsletter,issues,about,subscribe",Voice hero then what-you-get then recent-issues then about then subscribe,Personal editorial + voice,confident ink with signal-orange,personal and editorial,"hover underline 100ms; subscribe emphasis","substack-template default; centered-headshot-and-subscribe; generic serif"
Conference/event,"conference,event,speakers,agenda,register",Energy hero then speakers then agenda then venue then register,Energetic structured + urgency,deep summit indigo with vivid pink,energetic and clear,"speaker card reveal 250ms; CTA pulse","tech-event neon; gradient-mesh-on-dark; generic abstract shapes"
Job board,"job board,jobs,search,employers,CTA",Search hero then featured-jobs then categories then for-employers then CTA,Functional trustworthy + search,functional trust-blue with hire-green,credible and active,"filter chip toggle 120ms; card hover raise 200ms","stock office-handshake; briefcase clipart; stale listings"
Coworking space,"coworking,workspace,spaces,community,tour",Space hero then spaces then amenities then community then pricing,Vibrant social + photo-led,warm charcoal with vibrant amber,social and grounded,"space reveal 280ms; card hover lift 200ms","startup-loft cliche; exposed-brick stock; ping-pong-and-plants"
Coaching/consulting,"coaching,consulting,approach,results,book",Personal hero then who-I-help then approach then results then book,Credible personal + clarity,composed slate with quiet gold,credible and personal,"gentle reveal 300ms; CTA hover scale 180ms","guru-stock headshot; motivational-gradient; vague-promise hero"
Accounting/bookkeeping,"accounting,bookkeeping,tax,services,consult",Trust hero then services then who-we-serve then process then pricing,Precise trustworthy + clarity,precise ledger green with steel-blue,accurate and approachable,"step reveal 250ms; gentle fade-in","stiff-corporate navy; calculator-coin clipart; stock spreadsheet"
Construction,"construction,builder,contractor,projects,quote",Project hero then projects then services then process then safety,Solid substantial + photo-led,solid charcoal with caution-yellow,substantial and capable,"project reveal 300ms; subtle hover lift 200ms","hardhat-clipart banner; 'building the future' filler; crane silhouette"
Manufacturing/industrial,"manufacturing,industrial,capabilities,certifications,contact",Capability hero then capabilities then certs then industries then quality,Precise industrial + data clarity,precise industrial steel with process-blue,precise and rigorous,"spec reveal 250ms; metric count-up 600ms","industrial-blue gradient; gear-and-cog clipart; generic factory stock"
Agriculture/agtech,"agriculture,agtech,farming,results,CTA",Field hero then solution then how-it-works then field-results then proof,Grounded modern + data clarity,field green with harvest-gold,grounded and credible,"yield count-up 600ms; field-photo reveal 300ms","sterile-SaaS-on-tractor; generic-green; drone-over-field stock"
Energy/solar,"energy,solar,savings,installation,quote",Savings hero then how-it-works then savings then installation then proof,Clean optimistic + data clarity,clean deep teal with sun-gold,optimistic and concrete,"savings count-up 600ms; step transition 250ms","eco-green gradient; sun-ray-icon; stock-panels-on-roof"
Telecom,"telecom,internet,plans,coverage,CTA",Plans hero then plans then coverage then speed then support,Connected confident + clarity,confident indigo with signal-cyan,connected and modern,"plan card hover raise 200ms; coverage map pin pop","network-swoosh; gradient-globe; abstract-connection-lines"
Church/religious,"church,faith,worship,service times,visit",Welcome hero then welcome then service-times then beliefs then get-involved,Warm reverent + clarity,reverent soft violet with candle-gold,warm and welcoming,"gentle fade-in 300ms; soft reveal 280ms","trajan-stone-engraving; stained-glass gradient; dove-and-cross clipart"
Museum/gallery,"museum,gallery,exhibition,collection,plan",Exhibition hero then current-exhibition then visit then collection then events,Editorial spatial + whitespace,neutral gallery ink with soft bronze,spatial and editorial,"full-bleed art reveal 350ms; subtle parallax","thin-serif-on-white; generic art-tile grid; sterile institution"
Sports team/club,"sports,team,club,fixtures,tickets",Spirit hero then next-fixture then news then players then tickets,Bold spirited + energy,bold club navy with spirited red,spirited and bold,"score reveal 300ms; card hover lift 200ms","esports neon; chrome-bevel crest; generic action stock"
